Device: cuda
/home/hailong/miniforge3/envs/USEF-TFGridNet/lib/python3.8/site-packages/torch/nn/utils/weight_norm.py:134: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)
Generator params: 7.81M
Discriminator params: 70.72M
Starting training from step 0 (phase 1)
step    8900 | phase 1 | loss_G 6.4251 | sep 3.9398 | stft 0.8862 | l1 0.0483 | amp 0.0045 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.01 | rss 1392MB | 0.51s
step    9000 | phase 1 | loss_G 16.2435 | sep 11.9497 | stft 2.0438 | l1 0.0988 | amp 1.5854 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.87 | rss 1392MB | 0.51s
step    9100 | phase 1 | loss_G 12.9635 | sep 10.0748 | stft 1.5787 | l1 0.0653 | amp 0.5699 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.56 | rss 1392MB | 0.51s
step    9200 | phase 1 | loss_G 11.9822 | sep 7.7088 | stft 1.6194 | l1 0.0619 | amp 0.0782 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.31 | rss 1392MB | 0.51s
step    9300 | phase 1 | loss_G 12.4378 | sep 9.0628 | stft 1.5753 | l1 0.0598 | amp 0.1613 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.38 | rss 1392MB | 0.51s
step    9400 | phase 1 | loss_G 9.3085 | sep 6.5928 | stft 1.1969 | l1 0.0551 | amp 0.0861 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.11 | rss 1392MB | 0.51s
step    9500 | phase 1 | loss_G 12.6541 | sep 7.0571 | stft 1.8209 | l1 0.0419 | amp 0.0684 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.09 | rss 1392MB | 0.51s
step    9600 | phase 1 | loss_G 10.8742 | sep 7.8014 | stft 1.3874 | l1 0.0730 | amp 0.1700 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.25 | rss 1392MB | 0.49s
step    9700 | phase 1 | loss_G 8.0323 | sep 3.4315 | stft 1.2577 | l1 0.0565 | amp 0.0848 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.88 | rss 1392MB | 0.51s
step    9800 | phase 1 | loss_G 4.6738 | sep 0.6114 | stft 0.8712 | l1 0.0243 | amp 0.1673 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.59 | rss 1392MB | 0.51s
